abandoned,abandoned_category,abandoned_enjoy_bored,abandoned_enjoy_bored_num,abandoned_enjoy_excited,abandoned_enjoy_excited_num,abandoned_enjoy_use,abandoned_enjoy_use_num,abandoned_info_exact,abandoned_info_exact_num,abandoned_info_learn,abandoned_info_learn_num,abandoned_info_regular,abandoned_info_regular_num,abandoned_info_relevant,abandoned_info_relevant_num,abandoned_info_timely,abandoned_info_timely_num,abandoned_other_financial,abandoned_other_financial_num,abandoned_other_general,abandoned_other_general_num,abandoned_other_specific,abandoned_other_specific_num,abandoned_self_consume,abandoned_self_consume_num,abandoned_self_interests,abandoned_self_interests_num,abandoned_self_personality,abandoned_self_personality_num,abandoned_social_comm,abandoned_social_comm_num,abandoned_social_connect,abandoned_social_connect_num,abandoned_social_friends,abandoned_social_friends_num,abandoned_social_plans,abandoned_social_plans_num,abandoned_update_needs,abandoned_update_needs_num,abandoned_update_remind,abandoned_update_remind_num,abandoned_usable_interface,abandoned_usable_interface_num,abandoned_usable_intuitive,abandoned_usable_intuitive_num,abandoned_usable_launch,abandoned_usable_launch_num,abandoned_use_efficient,abandoned_use_efficient_num,abandoned_use_info_track,abandoned_use_info_track_num,abandoned_use_logistics,abandoned_use_logistics_num,abandoned_use_task,abandoned_use_task_num,age,age_num,current,current_category,current_enjoy_bored,current_enjoy_bored_num,current_enjoy_excited,current_enjoy_excited_num,current_enjoy_use,current_enjoy_use_num,current_info_exact,current_info_exact_num,current_info_learn,current_info_learn_num,current_info_regular,current_info_regular_num,current_info_relevant,current_info_relevant_num,current_info_timely,current_info_timely_num,current_other_financial,current_other_financial_num,current_other_general,current_other_general_num,current_other_specific,current_other_specific_num,current_self_consume,current_self_consume_num,current_self_interests,current_self_interests_num,current_self_personality,current_self_personality_num,current_social_comm,current_social_comm_num,current_social_connect,current_social_connect_num,current_social_friends,current_social_friends_num,current_social_plans,current_social_plans_num,current_update_needs,current_update_needs_num,current_update_remind,current_update_remind_num,current_usable_interface,current_usable_interface_num,current_usable_intuitive,current_usable_intuitive_num,current_usable_launch,current_usable_launch_num,current_use_efficient,current_use_efficient_num,current_use_info_track,current_use_info_track_num,current_use_logistics,current_use_logistics_num,current_use_task,current_use_task_num,device,educ,educ_num,from,gender,gender_num,timestamp,usage
Instagram,social,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,22,22,Snapchat,social,Very often,3,Very often,3,All of the time,4,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,All of the time,4,All of the time,4,Never,0,Sometimes,2,Never,0,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,A little bit of the time,1,iPhone 5/5S/5C or older,Graduate (PhD),4,Northeast,Female,1,11/1/2016 15:51:54,More than 3 hours
Snapchat,social,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,26,26,Spotify,self_express,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,Never,0,All of the time,4,Never,0,Never,0,Sometimes,2,Never,0,All of the time,4,A little bit of the time,1,Sometimes,2,All of the time,4,Never,0,Never,0,All of the time,4,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Male,0,10/31/2016 18:39:07,Between 1 and 3 hours
Words With Friends,entertainment,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,A little bit of the time,1,Never,0,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,Very often,3,Never,0,Very often,3,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,31,31,Spotify,self_express,Very often,3,Sometimes,2,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Never,0,Never,0,Never,0,Very often,3,iPhone 6/6S/6S Plus,Graduate (Master's),3,West,Do not want to disclose,,10/31/2016 18:46:52,Between 1 and 3 hours
Snapchat,social,A little bit of the time,1,A little bit of the time,1,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Sometimes,2,Never,0,Sometimes,2,Very often,3,Very often,3,Very often,3,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,26,26,Spotify,self_express,Never,0,Sometimes,2,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,All of the time,4,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Male,0,10/31/2016 20:53:05,Between 1 and 3 hours
Uber,useful,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,24,24,Spotify,self_express,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,Never,0,Never,0,All of the time,4,iPhone 6/6S/6S Plus,Graduate (Master's),3,West,Male,0,10/31/2016 21:42:28,More than 3 hours
YouTube,entertainment,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,19,19,Spotify,self_express,All of the time,4,All of the time,4,All of the time,4,Never,0,Very often,3,Never,0,A little bit of the time,1,Never,0,Never,0,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Never,0,All of the time,4,Sometimes,2,All of the time,4,All of the time,4,Very often,3,Sometimes,2,A little bit of the time,1,Never,0,All of the time,4,iPhone 7/7 Plus,College (Bachelor's),2,West,Male,0,11/1/2016 0:10:34,More than 3 hours
Mail,useful,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,All of the time,4,A little bit of the time,1,Never,0,Very often,3,Never,0,Never,0,Never,0,Sometimes,2,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Very often,3,20,20,Spotify,self_express,Sometimes,2,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,Very often,3,Never,0,Never,0,Never,0,Never,0,All of the time,4,A little bit of the time,1,Very often,3,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,All of the time,4,iPhone 7/7 Plus,College (Bachelor's),2,South,Male,0,11/1/2016 14:00:53,More than 3 hours
Facebook,social,All of the time,4,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,Very often,3,Very often,3,All of the time,4,All of the time,4,Sometimes,2,Sometimes,2,Never,0,All of the time,4,All of the time,4,Very often,3,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,22,22,Spotify,self_express,A little bit of the time,1,Sometimes,2,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,Sometimes,2,Never,0,Never,0,Very often,3,Never,0,Very often,3,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,All of the time,4,iPhone 5/5S/5C or older,Graduate (Master's),3,Midwest,Female,1,11/1/2016 19:57:18,More than 3 hours
Words With Friends,entertainment,All of the time,4,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,22,22,Tumblr,entertainment,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Sometimes,2,All of the time,4,Sometimes,2,All of the time,4,A little bit of the time,1,Very often,3,Very often,3,Never,0,Sometimes,2,Never,0,All of the time,4,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,A little bit of the time,1,iPhone 7/7 Plus,College (Bachelor's),2,South,Male,0,10/31/2016 20:33:29,More than 3 hours
Instagram,social,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,18,18,Uber,useful,Never,0,Never,0,Very often,3,All of the time,4,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Sometimes,2,Very often,3,A little bit of the time,1,Very often,3,Never,0,Sometimes,2,All of the time,4,iPhone 6/6S/6S Plus,High School,1,West,Female,1,11/1/2016 14:28:27,More than 3 hours
Facebook,social,Very often,3,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Never,0,Sometimes,2,Never,0,Sometimes,2,A little bit of the time,1,Very often,3,A little bit of the time,1,Very often,3,Very often,3,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,Never,0,Never,0,A little bit of the time,1,Never,0,26,26,Venmo,useful,Never,0,Never,0,All of the time,4,All of the time,4,Never,0,Never,0,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,All of the time,4,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Very often,3,A little bit of the time,1,Never,0,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,Graduate (PhD),4,Northeast,Male,0,10/31/2016 19:48:04,Between 1 and 3 hours
Tumblr,entertainment,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,All of the time,4,Sometimes,2,Very often,3,All of the time,4,A little bit of the time,1,Very often,3,Sometimes,2,Never,0,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,26,26,Venmo,useful,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,All of the time,4,Never,0,All of the time,4,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Very often,3,A little bit of the time,1,Never,0,Sometimes,2,Sometimes,2,Very often,3,A little bit of the time,1,Never,0,Very often,3,All of the time,4,iPhone 5/5S/5C or older,Graduate (Master's),3,West,Female,1,10/31/2016 21:39:28,More than 3 hours
Mail,useful,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,All of the time,4,Very often,3,Never,0,Never,0,All of the time,4,Very often,3,Very often,3,All of the time,4,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,Sometimes,2,24,24,Yelp,rewards,Never,0,Never,0,Very often,3,All of the time,4,Never,0,All of the time,4,Very often,3,A little bit of the time,1,Never,0,Never,0,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,Never,0,All of the time,4,Very often,3,iPhone 6/6S/6S Plus,College (Bachelor's),2,Northeast,Female,1,10/31/2016 21:26:00,More than 3 hours
Pinterest,entertainment,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,All of the time,4,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,A little bit of the time,1,29,29,Yelp,rewards,Never,0,Never,0,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Very often,3,Very often,3,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Sometimes,2,Never,0,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,Never,0,Very often,3,All of the time,4,Android,Graduate (PhD),4,International,Female,1,11/1/2016 7:34:26,More than 3 hours
